Date,Diameter,Service,Feature,Identifier,Material,CONC,MWT,CAT,Ri_scale
2018-12-23,04,P,Pipe,71112,B1A-S,3.1,6.3,Cat A,Ri5
2018-12-23,04,P,Pipe,71112,B1A-S,3.1,5.5,Cat A,Ri5
2018-12-23,04,P,Pipe,71112,B1A-S,3.1,6.0,Cat A,Ri5
2018-12-31,04,P,Pipe,71112,B1A-S,3.1,6.0,Cat A,Ri5
2018-12-31,04,P,Pipe,71112,B1A-S,3.1,6.9,Cat A,Ri5
2012-11-08,04,P,Pipe,71112,B1A,2.27,6.3,0,0
2012-11-08,04,P,Pipe,71112,B1A,2.27,5.8,0,0
2012-11-08,04,P,Pipe,71112,B1A,2.27,6.4,0,0
2012-11-08,04,P,Pipe,71112,B1A,2.27,8.3,0,0
2006-05-29,4,P,Pipe,71112,B1A,0,6.0,A,0
2006-05-29,4,P,Pipe,71112,B1A,0,5.8,A,0
