Date,Diameter,Service,Feature,Identifier,Material,CONC,MWT,CAT,Ri_scale
2018-12-30,10,P,Pipe,31240,B3A,5.11,8.7,1.0,4.0
2018-12-30,10,P,Pipe,31240,B3A,5.11,9.7,1.0,4.0
2019-07-01,10,P,Pipe,31240,B3A,5.11,9.3,1.0,2.0
2019-07-01,10,P,Pipe,31240,B3A,5.11,9.2,1.0,2.0
2019-07-01,10,P,Pipe,31240,B3A,5.11,9.7,1.0,2.0
2019-07-01,10,P,Pipe,31240,B3A,5.11,8.9,1.0,2.0
2019-07-01,10,P,Pipe,31240,B3A,5.11,9.0,1.0,2.0
2019-07-01,10,P,Pipe,31240,B3A,5.11,8.7,1.0,2.0
2019-07-01,10,P,Pipe,31240,B3A,5.11,9.6,1.0,2.0
2019-07-01,10,P,Pipe,31240,B3A,5.11,9.5,1.0,2.0
2019-04-01,10,P,Pipe,31240,B3A,5.11,9.2,3.0,4.0
2019-04-01,10,P,Pipe,31240,B3A,5.11,8.5,3.0,4.0
2019-04-01,10,P,Pipe,31240,B3A,5.11,7.6,1.0,4.0
2019-04-01,10,P,Pipe,31240,B3A,5.11,7.1,1.0,4.0
2019-04-01,10,P,Pipe,31240,B3A,5.11,7.4,1.0,4.0
2019-04-01,10,P,Pipe,31240,B3A,5.11,7.2,1.0,4.0
2019-04-01,10,P,Pipe,31240,B3A,5.11,8.9,3.0,4.0
2019-04-01,10,P,Pipe,31240,B3A,5.11,9.0,0.0,0.0
2012-08-13,10,P,Pipe,31240,B3A,5.11,8.4,0.0,0.0
2012-08-17,10,P,Pipe,31240,B3A,5.11,8.3,0.0,0.0
2012-08-18,10,P,Pipe,31240,B3A,5.11,8.6,0.0,0.0
2012-08-18,10,P,Pipe,31240,B3A,5.11,8.9,0.0,0.0
2012-08-26,10,P,Pipe,31240,B3A,5.11,9.5,0.0,0.0
2012-08-15,10,P,Pipe,31240,B3A,5.11,8.8,0.0,0.0
2012-08-18,10,P,Pipe,31240,B3A,5.11,9.1,0.0,0.0
2012-08-18,10,P,Pipe,31240,B3A,5.11,9.0,0.0,0.0
2012-08-18,10,P,Pipe,31240,B3A,5.11,9.2,0.0,0.0
2006-03-06,10,P,Pipe,31240,B3A,0,8.9,1.0,0.0
2006-03-06,10,P,Pipe,31240,B3A,0,9.0,1.0,0.0
2006-03-06,10,P,Pipe,31240,B3A,0,8.7,3.0,0.0
2006-03-06,10,P,Pipe,31240,B3A,0,8.5,3.0,0.0
2006-03-06,10,P,Pipe,31240,B3A,0,8.8,1.0,0.0
2006-05-29,10,P,Pipe,31240,B3A,0,10.1,1.0,0.0
2006-05-29,10,P,Pipe,31240,B3A,0,8.8,1.0,0.0
2006-05-29,10,P,Pipe,31240,B3A,0,8.9,1.0,0.0
2006-05-29,10,P,Pipe,31240,B3A,0,9.2,1.0,0.0
2006-05-29,10,P,Pipe,31240,B3A,0,9.5,1.0,0.0
2006-05-29,10,P,Pipe,31240,B3A,0,9.8,1.0,0.0
2006-05-29,10,P,Pipe,31240,B3A,0,9.4,1.0,0.0
