Date,Diameter,Service,Feature,Identifier,Material,CONC,MWT,CAT,Ri_scale
2018-12-23,12,P,Pipe,131679,A1A-S,5.31,10.2,CAT 0,Ri1
2018-12-23,12,P,Pipe,131679,A1A-S,5.31,9.7,CAT 0,Ri1
2018-12-23,12,P,Pipe,131679,A1A-S,5.31,10.4,CAT 0,Ri1
2018-12-23,12,P,Pipe,131679,A1A-S,5.31,10.0,CAT 0,Ri1
2018-12-31,12,P,Pipe,131679,A1A-S,5.31,9.3,CAT-A,RI-4 
2018-12-31,12,P,Pipe,131679,A1A-S,5.31,9.2,CAT-A,RI-4 
2018-12-31,12,P,Pipe,131679,A1A-S,5.31,9.1,CAT-A,RI-4 
2018-12-31,12,P,Pipe,131679,A1A-S,5.31,8.9,CAT-A,RI-4 
2019-02-01,12,P,Pipe,131679,A1A-S,5.31,9.9,Cat-A,RI-1
2019-02-01,12,P,Pipe,131679,A1A-S,5.31,9.7,Cat-A,RI-1
2019-02-01,12,P,Pipe,131679,A1A-S,5.31,9.6,Cat-A,RI-1
2019-02-01,12,P,Pipe,131679,A1A-S,5.31,10.2,Cat-A,RI-1
2019-02-01,12,P,Pipe,131679,A1A-S,5.31,9.4,Cat-A,RI-1
2012-08-17,12,P,Pipe,131679,A1A,5.34,10.0,0,0
2012-08-17,12,P,Pipe,131679,A1A,5.34,10.3,0,0
2012-08-19,12,P,Pipe,131679,A1A,5.34,10.2,0,0
2012-08-19,12,P,Pipe,131679,A1A,5.34,10.6,0,0
2012-08-14,12,P,Pipe,131679,A1A,5.34,10.1,0,0
2012-08-14,12,P,Pipe,131679,A1A,5.34,10.3,0,0
2012-08-14,12,P,Pipe,131679,A1A,5.34,9.8,0,0
2012-08-14,12,P,Pipe,131679,A1A,5.34,9.7,0,0
2012-08-14,12,P,Pipe,131679,A1A,5.34,9.2,0,0
2012-08-14,12,P,Pipe,131679,A1A,5.34,9.0,0,0
2012-12-08,12,P,Pipe,131679,A1A,5.34,9.8,0,0
2012-12-08,12,P,Pipe,131679,A1A,5.34,10.3,0,0
2012-12-08,12,P,Pipe,131679,A1A,5.34,10.2,0,0
2006-06-15,12,P,Pipe,131679,A1A,0,10.2,OK,0
2006-06-15,12,P,Pipe,131679,A1A,0,9.4,OK,0
2006-06-15,12,P,Pipe,131679,A1A,0,10.0,OK,0
2006-06-15,12,P,Pipe,131679,A1A,0,9.9,OK,0
2006-06-15,12,P,Pipe,131679,A1A,0,9.5,OK,0
2006-04-06,12,P,Pipe,131679,A1A,0,10.0,OK,0
2006-04-06,12,P,Pipe,131679,A1A,0,9.7,OK,0
2006-04-06,12,P,Pipe,131679,A1A,0,10.2,OK,0
2006-04-06,12,P,Pipe,131679,A1A,0,9.6,OK,0
2006-04-06,12,P,Pipe,131679,A1A,0,9.3,OK,0
2006-04-06,12,P,Pipe,131679,A1A,0,9.2,OK,0
2006-04-06,12,P,Pipe,131679,A1A,0,9.1,OK,0
2006-05-28,12,P,Pipe,131679,A1A,0,10.5,OK,0
2006-05-28,12,P,Pipe,131679,A1A,0,9.5,OK,0
