Date,Diameter,Service,Feature,Identifier,Material,CONC,MWT,CAT,Ri_scale
2019-02-01,08,P,Pipe,71711,A1A-S,4.15,7.0,Cat-A,RI-1
2019-02-01,08,P,Pipe,71711,A1A-S,4.15,7.1,Cat-A,RI-1
2019-02-01,08,P,Pipe,71711,A1A-S,4.15,7.7,Cat-A,RI-1
2019-02-01,08,P,Pipe,71711,A1A-S,4.15,7.3,Cat-A,RI-1
2019-02-01,08,P,Pipe,71711,A1A-S,4.15,7.5,Cat-A,RI-1
2012-08-13,08,P,Pipe,71711,A1A,4.16,7.7,0,0
2012-08-13,08,P,Pipe,71711,A1A,4.16,7.2,0,0
2012-12-08,08,P,Pipe,71711,A1A,4.16,7.4,0,0
2012-12-08,08,P,Pipe,71711,A1A,4.16,7.6,0,0
2012-08-13,08,P,Pipe,71711,A1A,4.16,6.9,0,0
2012-08-13,08,P,Pipe,71711,A1A,4.16,7.4,0,0
2006-04-06,8,P,Pipe,71711,A1A,0,8.7,OK,0
2006-04-06,8,P,Pipe,71711,A1A,0,8.6,OK,0
